0.141: [GC 13312K->336K(49152K), 0.0015200 secs]
0.193: [GC 13648K->288K(49152K), 0.0012150 secs]
0.241: [GC 13600K->320K(49152K), 0.0016170 secs]
0.289: [GC 13632K->272K(49152K), 0.0013970 secs]
0.341: [GC 13584K->288K(49152K), 0.0012170 secs]
0.389: [GC 13600K->272K(49152K), 0.0012000 secs]
0.442: [GC 15120K->248K(49152K), 0.0020670 secs]
0.498: [GC 15096K->248K(50688K), 0.0015720 secs]
0.558: [GC 16632K->248K(50688K), 0.0018920 secs]
0.617: [GC 16632K->248K(50688K), 0.0032430 secs]
0.685: [GC 16632K->248K(50688K), 0.0006430 secs]
0.747: [GC 16632K->248K(50688K), 0.0005870 secs]
0.805: [GC 16632K->248K(50688K), 0.0007610 secs]
0.863: [GC 16632K->248K(50688K), 0.0007350 secs]
0.926: [GC 16632K->248K(50688K), 0.0033270 secs]
0.987: [GC 16632K->248K(50688K), 0.0011320 secs]
1.046: [GC 16632K->248K(50688K), 0.0028090 secs]
1.110: [GC 16632K->248K(50688K), 0.0010950 secs]
1.169: [GC 16632K->248K(50688K), 0.0010720 secs]
1.227: [GC 16632K->248K(50688K), 0.0019560 secs]
1.288: [GC 16632K->248K(50688K), 0.0021820 secs]
1.357: [GC 16632K->248K(50688K), 0.0010600 secs]
1.419: [GC 16632K->248K(50688K), 0.0007450 secs]
1.477: [GC 16632K->248K(50688K), 0.0041750 secs]
1.540: [GC 16632K->248K(50688K), 0.0012280 secs]
1.604: [GC 16632K->248K(50688K), 0.0016000 secs]
1.664: [GC 16632K->248K(50688K), 0.0025460 secs]
1.724: [GC 16632K->248K(50688K), 0.0016210 secs]
1.790: [GC 16632K->248K(50688K), 0.0010080 secs]
1.848: [GC 16632K->248K(50688K), 0.0007630 secs]
1.906: [GC 16632K->248K(50688K), 0.0011190 secs]
1.965: [GC 16632K->248K(50688K), 0.0008860 secs]
2.030: [GC 16632K->248K(50688K), 0.0005120 secs]
2.090: [GC 16632K->248K(50688K), 0.0011760 secs]
2.148: [GC 16632K->248K(50688K), 0.0010620 secs]
2.207: [GC 16632K->248K(50688K), 0.0010620 secs]
2.267: [GC 16632K->248K(50688K), 0.0010550 secs]
2.325: [GC 16632K->248K(50688K), 0.0011410 secs]
2.384: [GC 16632K->248K(50688K), 0.0010830 secs]
2.442: [GC 16632K->248K(50688K), 0.0011470 secs]
2.501: [GC 16632K->248K(50688K), 0.0010220 secs]
2.560: [GC 16632K->248K(50688K), 0.0013810 secs]
2.627: [GC 16632K->248K(50688K), 0.0010150 secs]
2.690: [GC 16632K->248K(50688K), 0.0007830 secs]
2.748: [GC 16632K->248K(50688K), 0.0006140 secs]
2.806: [GC 16632K->248K(50688K), 0.0005800 secs]
2.865: [GC 16632K->248K(50688K), 0.0006850 secs]
2.923: [GC 16632K->248K(50688K), 0.0009430 secs]
2.981: [GC 16632K->248K(50688K), 0.0010890 secs]
3.039: [GC 16632K->248K(50688K), 0.0006440 secs]
3.140: [GC 16632K->248K(50688K), 0.0008150 secs]
3.207: [GC 16632K->248K(50688K), 0.0006020 secs]
3.264: [GC 16632K->248K(50688K), 0.0004810 secs]
3.327: [GC 16632K->248K(50688K), 0.0007380 secs]
3.385: [GC 16632K->248K(50688K), 0.0004910 secs]
3.443: [GC 16632K->248K(50688K), 0.0010590 secs]
3.502: [GC 16632K->248K(50688K), 0.0005940 secs]
3.566: [GC 16632K->248K(50688K), 0.0008520 secs]
3.625: [GC 16632K->248K(50688K), 0.0011090 secs]
3.690: [GC 16632K->248K(50688K), 0.0010230 secs]
3.757: [GC 16632K->248K(50688K), 0.0006880 secs]
3.814: [GC 16632K->248K(50688K), 0.0006460 secs]
3.880: [GC 16632K->248K(50688K), 0.0010260 secs]
3.939: [GC 16632K->248K(50688K), 0.0010710 secs]
3.997: [GC 16632K->248K(50688K), 0.0010750 secs]
4.055: [GC 16632K->248K(50688K), 0.0011570 secs]
4.140: [GC 16632K->248K(50688K), 0.0008320 secs]
4.227: [GC 16632K->248K(50688K), 0.0005770 secs]
4.318: [GC 16632K->248K(50688K), 0.0005860 secs]
4.405: [GC 16632K->248K(50688K), 0.0005970 secs]
4.491: [GC 16632K->248K(50688K), 0.0006170 secs]
4.589: [GC 16632K->248K(50688K), 0.0006020 secs]
4.681: [GC 16632K->248K(50688K), 0.0008840 secs]
4.768: [GC 16632K->248K(50688K), 0.0010880 secs]
4.856: [GC 16632K->248K(50688K), 0.0009280 secs]
4.950: [GC 16632K->248K(50688K), 0.0005160 secs]
5.039: [GC 16632K->248K(50688K), 0.0006830 secs]
5.132: [GC 16632K->248K(50688K), 0.0008770 secs]
5.219: [GC 16632K->248K(50688K), 0.0009650 secs]
5.309: [GC 16632K->248K(50688K), 0.0010860 secs]
5.397: [GC 16632K->248K(50688K), 0.0010720 secs]
