0.101: [GC 13312K->13240K(49152K), 0.0296260 secs]
0.138: [GC 26552K->26064K(49152K), 0.0887980 secs]
0.227: [Full GC 26064K->20707K(49152K), 0.5258970 secs]
0.760: [Full GC 34019K->20704K(49152K), 0.5149500 secs]
1.282: [Full GC 34016K->20704K(49152K), 0.5831280 secs]
1.872: [Full GC 34016K->20704K(49152K), 0.5062240 secs]
2.386: [Full GC 34016K->20704K(49152K), 0.5038400 secs]
2.897: [Full GC 34016K->20704K(49152K), 0.4999590 secs]
3.405: [Full GC 34016K->20704K(49152K), 0.5041190 secs]
3.917: [Full GC 34016K->20704K(49152K), 0.5238780 secs]
4.448: [Full GC 34016K->20704K(49152K), 0.5038950 secs]
4.961: [Full GC 34016K->20704K(49152K), 0.5125820 secs]
5.481: [Full GC 34016K->20704K(49152K), 0.5082240 secs]
5.996: [Full GC 34016K->20704K(49152K), 0.5008050 secs]
6.505: [Full GC 34016K->20704K(49152K), 0.4841050 secs]
6.997: [Full GC 34016K->20704K(49152K), 0.5433800 secs]
7.547: [Full GC 34016K->20704K(49152K), 0.4936020 secs]
8.053: [Full GC 34016K->20704K(49152K), 0.5112960 secs]
8.573: [Full GC 34016K->20704K(49152K), 0.5099620 secs]
9.091: [Full GC 34016K->20704K(49152K), 0.5475530 secs]
9.646: [Full GC 34016K->20704K(49152K), 0.5105530 secs]
10.167: [Full GC 34016K->20704K(49152K), 0.5324830 secs]
10.707: [Full GC 34016K->20704K(49152K), 0.5021670 secs]
11.216: [Full GC 34016K->20704K(49152K), 0.4999930 secs]
11.723: [Full GC 34016K->20704K(49152K), 0.4966060 secs]
12.227: [Full GC 34016K->20704K(49152K), 0.5031490 secs]
12.741: [Full GC 34016K->20704K(49152K), 0.5457710 secs]
13.294: [Full GC 34016K->20704K(49152K), 0.4945980 secs]
13.796: [Full GC 34016K->20704K(49152K), 0.5014730 secs]
14.304: [Full GC 34016K->20704K(49152K), 0.5019180 secs]
14.814: [Full GC 34016K->20704K(49152K), 0.4989860 secs]
15.320: [Full GC 34016K->20704K(49152K), 0.5224090 secs]
15.852: [Full GC 34016K->20704K(49152K), 0.5115590 secs]
16.371: [Full GC 34016K->20704K(49152K), 0.5097260 secs]
16.887: [Full GC 34016K->20704K(49152K), 0.5016380 secs]
17.400: [Full GC 34016K->20704K(49152K), 0.4981780 secs]
17.905: [Full GC 34016K->20704K(49152K), 0.5019520 secs]
18.414: [Full GC 34016K->20704K(49152K), 0.5000090 secs]
18.926: [Full GC 34016K->20704K(49152K), 0.5094130 secs]
19.446: [Full GC 34016K->20704K(49152K), 0.5122310 secs]
19.965: [Full GC 34016K->20704K(49152K), 0.5116390 secs]
