"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: memorysize","Param: stride"
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.042032,0.001386,"s/op",1,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.042084,0.001428,"s/op",1,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.042810,0.007811,"s/op",2,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.043631,0.002154,"s/op",2,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.042953,0.003837,"s/op",4,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.044895,0.003995,"s/op",4,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.043009,0.004083,"s/op",8,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.042784,0.005366,"s/op",8,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.041554,0.000293,"s/op",16,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.041604,0.001487,"s/op",16,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.041615,0.000423,"s/op",32,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.041455,0.000417,"s/op",32,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.105145,0.002259,"s/op",64,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.119221,0.001638,"s/op",64,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.104402,0.001151,"s/op",128,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.119614,0.002036,"s/op",128,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.105009,0.003924,"s/op",256,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.119466,0.002276,"s/op",256,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.138183,0.001204,"s/op",512,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.137660,0.001947,"s/op",512,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.138790,0.001901,"s/op",1024,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.181621,0.003291,"s/op",1024,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.137450,0.002511,"s/op",2048,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.183760,0.002917,"s/op",2048,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.138138,0.002411,"s/op",3072,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.181216,0.000785,"s/op",3072,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.138229,0.002516,"s/op",4096,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.182528,0.001186,"s/op",4096,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.138575,0.001644,"s/op",6144,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.181664,0.001836,"s/op",6144,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.164591,0.002221,"s/op",8192,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.212927,0.002445,"s/op",8192,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.201081,0.002621,"s/op",16384,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.278161,0.003965,"s/op",16384,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.232737,0.026921,"s/op",32768,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.349696,0.009337,"s/op",32768,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.233687,0.005625,"s/op",65536,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.362558,0.015593,"s/op",65536,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.278090,0.001535,"s/op",131072,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.419237,0.014345,"s/op",131072,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.420361,0.001732,"s/op",262144,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.654669,0.028187,"s/op",262144,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.426913,0.006861,"s/op",524288,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.667948,0.010935,"s/op",524288,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.425451,0.008621,"s/op",1048576,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.658935,0.014711,"s/op",1048576,31
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.430633,0.020110,"s/op",2097152,7
"org.mk.training.memorytest.MemoryTest.bench","avgt",1,5,0.643181,0.017470,"s/op",2097152,31
